epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1598.29,0.65832,1.38437,0.80887,0.80096,0.41395,0.63018,0.45001,0.43572,0.62773,0.60999,0.00999825,0.00333275,0.00999825,0.00333275,0.00999825,0.00333275,0.00999825,0.00333275
2,2891.68,0.74089,1.11443,0.87222,0.25308,0.4093,0.2499,0.10855,0.64435,1.28378,0.90853,0.0198663,0.00662209,0.0198663,0.00662209,0.0198663,0.00662209,0.0198663,0.00662209
3,4139.92,0.85174,1.26667,0.95321,0.09156,0.2,0.0493,0.01618,0.80838,3.62308,0.99217,0.0296023,0.00986742,0.0296023,0.00986742,0.0296023,0.00986742,0.0296023,0.00986742
4,5380.31,0.89545,1.33921,0.98132,0.36705,0.32093,0.31715,0.1288,0.70013,2.06288,0.90355,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,6616.98,0.86694,1.26424,0.95874,0.60332,0.4093,0.42946,0.2734,0.60194,0.89195,0.77797,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,7857.86,0.8362,1.18088,0.93636,0.76981,0.38887,0.51837,0.33043,0.53689,0.83867,0.71606,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,9098.87,0.802,1.09577,0.91861,0.75318,0.53023,0.64328,0.4012,0.51762,0.63793,0.6863,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,10339.1,0.75179,1.03173,0.87427,0.63014,0.61395,0.6414,0.42138,0.52423,0.59807,0.69254,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,11578.2,0.73512,0.9716,0.85357,0.43961,0.6,0.48193,0.23041,0.65298,0.6563,0.76371,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,12818.6,0.73785,0.95938,0.86447,0.70336,0.64651,0.71551,0.45085,0.49281,0.57184,0.66279,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,14060.1,0.71134,0.91472,0.8414,0.70153,0.67907,0.71033,0.48757,0.46269,0.47529,0.6532,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,15301.6,0.69508,0.88018,0.83036,0.67274,0.55456,0.64584,0.40723,0.49817,0.80096,0.67788,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,16545.6,0.68725,0.86495,0.8299,0.54803,0.62791,0.61739,0.3887,0.46656,0.51404,0.63229,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,17781.6,0.65428,0.81867,0.79409,0.52643,0.44982,0.44451,0.19674,0.65871,0.74043,0.85062,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,19024.1,0.66988,0.82983,0.81394,0.8151,0.71628,0.78099,0.50069,0.41638,0.45898,0.59143,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,20261.4,0.63888,0.79697,0.77983,0.38688,0.45581,0.42291,0.20352,0.51758,0.6005,0.66517,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,21500.1,0.63421,0.76434,0.78651,0.66742,0.69767,0.72576,0.46078,0.45054,0.45491,0.60463,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,22739.9,0.6319,0.75344,0.77917,0.75312,0.63848,0.72306,0.48994,0.43249,0.44904,0.62878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,23980.9,0.62188,0.72893,0.77783,0.66506,0.63721,0.66382,0.41167,0.41152,0.48858,0.56413,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,25221.4,0.63061,0.75684,0.79313,0.79992,0.69302,0.7678,0.51424,0.41187,0.43429,0.59628,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,26462,0.60366,0.72087,0.76106,0.75682,0.66587,0.72623,0.49624,0.43212,0.44274,0.6172,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,27703.2,0.60451,0.70953,0.76226,0.80641,0.71689,0.80358,0.57602,0.39183,0.37823,0.57616,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,28946.9,0.61578,0.70464,0.77439,0.73435,0.72003,0.78029,0.53083,0.41313,0.47119,0.58087,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,30185.4,0.59652,0.69021,0.7546,0.78802,0.71628,0.78309,0.55478,0.40361,0.39825,0.58819,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,31427.9,0.60478,0.69055,0.76751,0.73193,0.78735,0.77818,0.48681,0.38741,0.35963,0.54599,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,32668.6,0.56535,0.6548,0.73096,0.73303,0.73953,0.77623,0.54755,0.40645,0.41087,0.56854,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,33910.9,0.57412,0.62973,0.73644,0.72243,0.72558,0.77339,0.4725,0.45694,0.38528,0.58813,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,35151.7,0.56324,0.64068,0.72439,0.72796,0.74884,0.79507,0.50891,0.42314,0.40202,0.57325,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,36389.7,0.5638,0.64034,0.72909,0.65666,0.68837,0.71858,0.48189,0.38046,0.38923,0.53969,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,37629.5,0.54931,0.62603,0.7211,0.79251,0.73953,0.81373,0.60126,0.34027,0.36124,0.5067,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,38864.6,0.55495,0.61211,0.72378,0.60762,0.67442,0.68137,0.44018,0.35116,0.42113,0.51454,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,40099.2,0.55542,0.60639,0.72557,0.73893,0.7814,0.80568,0.54675,0.35523,0.34287,0.5186,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
